Size, Label, Opereation Count, Exection Time, Flops
100, 100 , 8000000.000000, 0.001078, 7.421150
200, 200 , 64000000.000000, 0.004352, 14.705882
400, 400 , 512000000.000000, 0.018348, 27.904949
800, 800 , 4096000000.000000, 0.080284, 51.018883
1600, 1600 , 32768000000.000000, 0.369036, 88.793505
3200, 3200 , 262144000000.000000, 1.566150, 167.381158
6400, 6400 , 2097152000000.000000, 6.375840, 328.921679
12800, 12800 , 16777216000000.000000, 47.577592, 352.628523
