Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000.000000, 0.013848, 0.577701
200, 200, 64000000.000000, 0.109006, 0.587124
400, 400, 512000000.000000, 1.130579, 0.452865
800, 800, 4096000000.000000, 10.593949, 0.386636
1600, 1600, 32768000000.000000, 110.377771, 0.296871
3200, 3200, 262144000000.000000, 1265.402865, 0.207162
