Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000, 0.020000, 0
200, 200, 64000000, 0.000000, -2147483648
400, 400, 512000000, 0.010000, 51
800, 800, -2147483648, 0.040000, -53
1600, 1600, -2147483648, 0.230000, -9
3200, 3200, -2147483648, 1.740000, -1
6400, 6400, -2147483648, 13.670000, 0
