Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000.000000, 0.000000, inf
200, 200, 64000000.000000, 0.050000, 1.280000
400, 400, 512000000.000000, 0.470000, 1.089362
800, 800, 4096000000.000000, 4.010000, 1.021446
1600, 1600, 32768000000.000000, 52.540000, 0.623677
